coord,lon,lat,height,road_id,vegklasse,name,kommentar,is_real,is_generated,fiber_kabel,TK_kabel,uten_raate,tre_stolpe,staal_stolpe,LED,halogen,build_weight,build_weight4
[6.92347792e+05 7.78397095e+06 7.87798100e+00],20.066105995746383,70.09053252693262,7.877981,568807608_F6CF08,0.5993999999999999,21.3,,1,0,0,1,0,1,0,1,0,0.1159168669765818,0.13021564152351262
[6.92316166e+05 7.78395587e+06 8.65398400e+00],20.065244158786438,70.09042141387262,8.653984,568807608_F6CF08,0.5993999999999999,21.4,,1,0,0,1,0,1,0,0,1,0.14070411211901515,0.1556946867782731
[6.92278230e+05 7.78393427e+06 6.11216600e+00],20.06420272506525,70.0902566465203,6.112166,568807608_F6CF08,0.5993999999999999,21.5,STROM TIL BAKKE,1,0,0,1,0,1,0,0,1,0.17361640724463995,0.19851459455755838
[6.92235869e+05 7.78391501e+06 5.55775200e+00],20.063050451224335,70.0901162001708,5.557752,568807608_F6CF08,0.5993999999999999,21.6,2X STROM TIL BAKKE,1,0,0,1,0,1,0,1,0,0.18457519901726194,0.21218673619438255
[6.92201074e+05 7.78389927e+06 4.99329800e+00],20.06210416121258,70.09000146813383,4.993298,568807608_F6CF08,0.5993999999999999,21.7,,1,0,0,1,0,1,0,0,1,0.2092656614154861,0.22708348594607652
[6.92164227e+05 7.78388267e+06 4.86258000e+00],20.061102210525874,70.08988062203422,4.86258,568807608_F6CF08,0.5993999999999999,21.8,,1,0,0,1,0,1,0,0,1,0.259350405056263,0.26263079165139647
[6.92126610e+05 7.78385583e+06 4.07771500e+00],20.06005778383074,70.08966886946175,4.077715,568807608_F6CF08,0.5993999999999999,21.9,,1,0,0,1,0,1,0,0,1,0.21993582532002057,0.21366011580206104
[6.92092281e+05 7.78382643e+06 3.62751300e+00],20.05909393377913,70.08943176509669,3.627513,568807608_F6CF08,0.5993999999999999,21.10,,1,0,0,1,0,1,0,0,1,0.14323464966384442,0.13898939227388463
[6.92057389e+05 7.78379683e+06 3.60734400e+00],20.05811491770912,70.08919333915529,3.607344,568807608_F6CF08,0.5993999999999999,21.11,STROM TIL BAKKE,1,0,0,1,0,1,0,0,1,0.13338871842271663,0.13080772379459787
[6.92022559e+05 7.78376765e+06 3.35440200e+00],20.057138484699625,70.0889585880145,3.354402,568807608_F6CF08,0.5993999999999999,21.12,,1,0,0,1,0,1,0,0,1,0.10902157390552127,0.10622174460224797
[6.91988088e+05 7.78373869e+06 3.25838800e+00],20.0561719339904,70.08872552052564,3.258388,568807608_F6CF08,0.5993999999999999,21.13,,1,0,0,0,0,1,0,0,1,0.042655591004463346,0.04101039251018853
[6.91953351e+05 7.78370915e+06 3.77871500e+00],20.055197189341428,70.08848747331994,3.778715,568807608_F6CF08,0.5993999999999999,21.14,,1,0,0,0,0,1,0,0,1,0.005547173328342754,0.00497690163328756
[6.91214425e+05 7.78337661e+06 3.47604700e+00],20.03510964601931,70.08606491383324,3.476047,568807608_F6CF08,0.5993999999999999,22.1,,1,0,1,0,0,1,0,0,1,0.14368852999803072,0.15338199054979001
[6.91171834e+05 7.78335778e+06 3.50344500e+00],20.033952703327213,70.08592821732029,3.503445,568807608_F6CF08,0.5993999999999999,22.2,,1,0,1,0,0,1,0,0,1,0.16660157468875336,0.17346385236022543
[6.91130548e+05 7.78333930e+06 4.05098600e+00],20.03283070860701,70.08579364580308,4.050986,568807608_F6CF08,0.5993999999999999,22.3,,1,0,1,0,0,1,0,0,1,0.16483471346157286,0.17185368279790353
[6.91088704e+05 7.78332048e+06 4.59143100e+00],20.03169340235657,70.08565651479165,4.591431,568807608_F6CF08,0.5993999999999999,22.4,TLF NED STOLPE,1,0,1,0,0,1,0,1,0,0.15481232166646297,0.1652138352711387
[6.91047392e+05 7.78330188e+06 5.19324900e+00],20.03057050203307,70.08552094948553,5.193249,568807608_F6CF08,0.5993999999999999,22.5,,1,0,1,2,0,1,0,0,1,0.11983575457638018,0.12952377557467343
[6.91006545e+05 7.78328404e+06 5.51956300e+00],20.029461465216727,70.085391739956,5.519563,568827264_2A4E67,0.1998,22.6,TLF NED STOLPE,1,0,1,2,0,1,0,1,0,0.08735893281855621,0.09402454681571897
[6.90964555e+05 7.78326572e+06 5.35015400e+00],20.028321432893563,70.08525914035866,5.350154,568807608_F6CF08,0.5993999999999999,22.7,,1,0,1,2,0,1,0,0,1,0.061719855799016246,0.06606249527606807
